,based-type,category,f1,acc,prec,rec
0,gpt3_davinci_one_shot,universe,0.198,0.5316,0.669,0.1277
0,gpt3_davinci_one_shot,us-states,0.1045,0.488,0.4458,0.0763
0,gpt3_ada_zero_shot,animals,0.0042,0.4975,0.1524,0.0021
0,gpt3_ada_zero_shot,biology,0.0162,0.499,0.5,0.0082
0,gpt3_ada_zero_shot,chemistry,0.0,0.4993,0.0,0.0
0,gpt3_ada_zero_shot,cities,0.0,0.4983,0.0,0.0
0,gpt3_ada_zero_shot,countries,0.002,0.4987,0.0943,0.001
0,gpt3_ada_zero_shot,culture,0.0,0.4971,0.0,0.0
0,gpt3_ada_zero_shot,entertainment,0.0018,0.4991,0.0789,0.0009
0,gpt3_ada_zero_shot,food,0.0007,0.4983,0.0526,0.0004
0,gpt3_ada_zero_shot,geography,0.0,0.4967,0.0,0.0
0,gpt3_ada_zero_shot,health,0.0,0.5,0.0,0.0
0,gpt3_ada_zero_shot,historical-events,0.0,0.497,0.0,0.0
0,gpt3_ada_zero_shot,human-body,0.0,0.4986,0.0,0.0
0,gpt3_ada_zero_shot,landmarks,0.0078,0.5004,0.2632,0.0039
0,gpt3_ada_zero_shot,people,0.0015,0.4985,0.0857,0.0008
0,gpt3_ada_zero_shot,plants,0.0,0.4983,0.0,0.0
0,gpt3_ada_zero_shot,religion,0.0,0.4966,0.0,0.0
0,gpt3_ada_zero_shot,sports,0.0,0.4986,0.0,0.0
0,gpt3_ada_zero_shot,technology,0.0,0.4994,0.0,0.0
0,gpt3_ada_zero_shot,universe,0.0022,0.4965,0.1429,0.0011
0,gpt3_ada_zero_shot,us-states,0.0006,0.4981,0.0333,0.0003
0,gpt3_ada_one_shot,animals,0.5324,0.5495,0.5652,0.5387
0,gpt3_ada_one_shot,biology,0.6085,0.5543,0.5486,0.7037
0,gpt3_ada_one_shot,chemistry,0.6576,0.6526,0.6615,0.6699
0,gpt3_ada_one_shot,cities,0.6216,0.6106,0.6,0.6812
0,gpt3_ada_one_shot,countries,0.5624,0.545,0.5555,0.6105
0,gpt3_ada_one_shot,culture,0.5033,0.5445,0.5937,0.482
0,gpt3_ada_one_shot,entertainment,0.4885,0.5474,0.5697,0.4517
0,gpt3_ada_one_shot,food,0.5907,0.5806,0.5864,0.6324
0,gpt3_ada_one_shot,geography,0.463,0.517,0.5631,0.4805
0,gpt3_ada_one_shot,health,0.7017,0.6447,0.6048,0.8355
0,gpt3_ada_one_shot,historical-events,0.5539,0.5508,0.574,0.5698
0,gpt3_ada_one_shot,human-body,0.6633,0.6226,0.6011,0.7461
0,gpt3_ada_one_shot,landmarks,0.5843,0.5483,0.5667,0.6461
0,gpt3_ada_one_shot,people,0.5309,0.528,0.5453,0.5484
0,gpt3_ada_one_shot,plants,0.6675,0.5907,0.5652,0.8164
0,gpt3_ada_one_shot,religion,0.5888,0.5517,0.5592,0.6809
0,gpt3_ada_one_shot,sports,0.5879,0.6001,0.6137,0.6198
0,gpt3_ada_one_shot,technology,0.5523,0.5964,0.6254,0.5164
0,gpt3_ada_one_shot,universe,0.5359,0.5648,0.5946,0.5193
0,gpt3_ada_one_shot,us-states,0.4769,0.5284,0.5514,0.4537
0,gpt3_ada_three_shot,animals,0.5827,0.5817,0.5769,0.6267
0,gpt3_ada_three_shot,biology,0.6348,0.5678,0.5516,0.7708
0,gpt3_ada_three_shot,chemistry,0.679,0.6823,0.7351,0.6884
0,gpt3_ada_three_shot,cities,0.6136,0.5696,0.5546,0.7306
0,gpt3_ada_three_shot,countries,0.586,0.538,0.5414,0.6753
0,gpt3_ada_three_shot,culture,0.5167,0.5427,0.6016,0.513
0,gpt3_ada_three_shot,entertainment,0.4481,0.52,0.5495,0.4227
0,gpt3_ada_three_shot,food,0.5837,0.5622,0.5624,0.6487
0,gpt3_ada_three_shot,geography,0.5596,0.5515,0.5662,0.6096
0,gpt3_ada_three_shot,health,0.7066,0.6612,0.6231,0.8158
